YEAR,  Domestic Debt  ,  External Debt ,  Total  
1999," 373,717.00 "," 632,090.00 "," 1,005,807.00 "
2000," 1,586,191.52 "," 3,188,942.94 "," 4,775,134.46 "
2001," 2,523,171.72 "," 4,752,392.05 "," 7,275,563.77 "
2002," 2,886,669.19 "," 4,521,607.96 "," 7,408,277.15 "
2003," 3,442,967.19 "," 4,667,506.61 "," 8,110,473.81 "
2004," 3,613,737.77 "," 5,182,974.80 "," 8,796,712.56 "
2005," 3,786,925.93 "," 5,132,453.80 "," 8,919,379.76 "
2006," 4,320,247.93 "," 5,007,444.18 "," 9,327,692.14 "
2007," 4,871,792.99 "," 4,958,771.27 "," 9,830,564.28 "
2008," 5,295,986.39 "," 5,271,713.50 "," 10,567,699.89 "
2009," 6,260,162.74 "," 6,327,093.33 "," 12,587,256.07 "
2010," 7,989,837.60 "," 6,754,527.68 "," 14,744,365.28 "
2011," 9,198,353.92 "," 8,477,400.03 "," 17,675,753.95 "
2012," 10,773,682.03 "," 9,012,480.59 "," 19,786,162.62 "
2013," 12,992,446.33 "," 10,296,335.21 "," 23,288,781.54 "
2014," 15,099,067.66 "," 12,462,559.16 "," 27,561,626.82 "
2015," 17,049,324.85 "," 17,091,920.86 "," 34,141,245.75 "
2016," 21,230,103.62 "," 21,154,785.79 "," 42,384,889.44 "
2017," 24,947,757.85 "," 26,778,818.61 "," 51,726,576.46 "
2018," 29,494,330.50 "," 31,061,971.85 "," 60,556,302.36 "
2019," 33,624,513.11 "," 35,613,579.71 "," 69,238,092.85 "
2020," 39,127,833.28 "," 42,011,199.52 "," 81,139,032.78 "
2021," 45,245,253.62 "," 47,485,323.27 "," 92,730,576.89 "
2022," 51,574,258.85 "," 51,810,671.76 "," 103,384,930.60 "
2023," 57,171,337.83 "," 64,475,083.23 "," 121,646,421.03 "
2024," 48,152,793.03 "," 48,002,563.62 "," 96,155,356.64 "
2002, 2.00 ," 227,581.00 "," 381,497.47 "
2002, 3.00 ," 229,167.00 "," 380,169.06 "
2002, 4.00 ," 233,149.00 "," 378,475.98 "
2002, 5.00 ," 231,773.00 "," 378,594.34 "
2002, 6.00 ," 235,991.00 "," 377,748.00 "
2002, 7.00 ," 242,102.05 "," 376,712.94 "
2002, 8.00 ," 247,168.98 "," 376,868.51 "
2002, 9.00 ," 250,808.60 "," 375,034.19 "
2002, 10.00 ," 251,196.67 "," 373,140.09 "
2002, 11.00 ," 255,192.66 "," 371,334.71 "
2002, 12.00 ," 259,828.23 "," 369,729.83 "
2003, 1.00 ," 263,986.33 "," 369,051.09 "
2003, 2.00 ," 264,193.21 "," 367,469.40 "
2003, 3.00 ," 270,716.28 "," 364,904.26 "
2003, 4.00 ," 276,083.44 "," 363,605.43 "
2003, 5.00 ," 280,928.98 "," 361,731.20 "
2003, 6.00 ," 289,376.97 "," 407,053.00 "
2003, 7.00 ," 292,277.47 "," 398,532.85 "
2003, 8.00 ," 295,494.51 "," 397,991.28 "
2003, 9.00 ," 303,252.05 "," 411,067.00 "
2003, 10.00 ," 301,918.96 "," 409,359.85 "
2003, 11.00 ," 303,548.41 "," 406,592.25 "
2003, 12.00 ," 301,190.58 "," 410,149.00 "
2004, 1.00 ," 299,701.26 "," 409,158.26 "
2004, 2.00 ," 300,907.92 "," 407,417.62 "
2004, 3.00 ," 302,023.58 "," 412,036.08 "
2004, 4.00 ," 301,177.37 "," 409,950.33 "
2004, 5.00 ," 299,347.29 "," 408,547.54 "
2004, 6.00 ," 306,234.66 "," 443,157.43 "
2004, 7.00 ," 303,462.12 "," 444,611.00 "
2004, 8.00 ," 301,678.34 "," 444,460.66 "
2004, 9.00 ," 299,745.58 "," 454,438.56 "
2004, 10.00 ," 301,541.30 "," 454,539.95 "
2004, 11.00 ," 302,543.91 "," 454,664.42 "
2004, 12.00 ," 295,374.44 "," 439,992.95 "
2005, 1.00 ," 291,222.66 "," 446,226.13 "
2005, 2.00 ," 292,227.33 "," 445,544.58 "
2005, 3.00 ," 296,330.22 "," 424,857.08 "
2005, 4.00 ," 307,160.62 "," 424,345.69 "
2005, 5.00 ," 304,975.65 "," 423,476.45 "
2005, 6.00 ," 315,572.50 "," 433,975.65 "
2005, 7.00 ," 324,027.42 "," 435,399.90 "
2005, 8.00 ," 325,380.53 "," 434,850.69 "
2005, 9.00 ," 328,799.98 "," 418,860.33 "
2005, 10.00 ," 332,725.65 "," 418,417.49 "
2005, 11.00 ," 333,501.48 "," 417,897.89 "
2005, 12.00 ," 335,001.89 "," 408,601.92 "
2006, 1.00 ," 333,950.84 "," 407,544.63 "
2006, 2.00 ," 338,613.23 "," 407,132.44 "
2006, 3.00 ," 346,064.04 "," 407,003.71 "
2006, 4.00 ," 348,220.36 "," 406,531.77 "
2006, 5.00 ," 349,489.93 "," 406,493.69 "
2006, 6.00 ," 357,838.95 "," 431,236.83 "
2006, 7.00 ," 364,835.71 "," 430,667.84 "
2006, 8.00 ," 367,963.31 "," 431,095.63 "
2006, 9.00 ," 371,591.47 "," 422,647.93 "
2006, 10.00 ," 375,524.02 "," 424,414.09 "
2006, 11.00 ," 381,034.85 "," 424,933.07 "
2006, 12.00 ," 385,121.22 "," 407,742.55 "
2007, 1.00 ," 378,127.61 "," 417,467.73 "
2007, 2.00 ," 385,824.93 "," 416,510.41 "
2007, 3.00 ," 386,287.74 "," 409,055.74 "
2007, 4.00 ," 390,491.89 "," 420,265.23 "
2007, 5.00 ," 390,795.61 "," 419,743.45 "
2007, 6.00 ," 404,690.11 "," 396,564.00 "
2007, 7.00 ," 410,229.01 "," 410,512.75 "
2007, 8.00 ," 415,915.04 "," 409,066.12 "
2007, 9.00 ," 426,821.36 "," 408,680.79 "
2007, 10.00 ," 418,488.14 "," 419,738.84 "
2007, 11.00 ," 426,062.44 "," 424,243.21 "
2007, 12.00 ," 438,059.11 "," 406,923.00 "
2008, 1.00 ," 432,183.90 "," 424,205.02 "
2008, 2.00 ," 434,621.39 "," 425,976.18 "
2008, 3.00 ," 444,736.37 "," 425,086.89 "
2008, 4.00 ," 437,870.94 "," 425,992.78 "
2008, 5.00 ," 442,684.75 "," 429,644.66 "
2008, 6.00 ," 430,611.73 "," 439,967.00 "
2008, 7.00 ," 428,148.13 "," 432,808.95 "
2008, 8.00 ," 433,489.36 "," 433,670.73 "
2008, 9.00 ," 449,333.84 "," 432,954.02 "
2008, 10.00 ," 454,685.97 "," 434,487.59 "
2008, 11.00 ," 451,392.10 "," 450,248.35 "
2008, 12.00 ," 456,227.91 "," 516,671.33 "
2009, 1.00 ," 454,266.44 "," 512,475.65 "
2009, 2.00 ," 478,896.43 "," 514,635.34 "
2009, 3.00 ," 474,749.81 "," 513,623.00 "
2009, 4.00 ," 497,450.16 "," 511,981.59 "
2009, 5.00 ," 489,234.39 "," 517,929.10 "
2009, 6.00 ," 518,346.15 "," 535,143.70 "
2009, 7.00 ," 530,400.97 "," 532,144.51 "
2009, 8.00 ," 547,182.36 "," 530,075.39 "
2009, 9.00 ," 550,613.80 "," 524,982.60 "
2009, 10.00 ," 567,125.13 "," 523,899.66 "
2009, 11.00 ," 562,926.79 "," 521,232.48 "
2009, 12.00 ," 588,970.31 "," 588,970.31 "
2010, 1.00 ," 580,721.47 "," 525,552.75 "
2010, 2.00 ," 607,512.61 "," 525,369.18 "
2010, 3.00 ," 639,116.32 "," 538,157.99 "
2010, 4.00 ," 653,614.42 "," 537,424.84 "
2010, 5.00 ," 650,261.96 "," 541,976.71 "
2010, 6.00 ," 660,267.68 "," 565,452.00 "
2010, 7.00 ," 667,803.42 "," 562,941.95 "
2010, 8.00 ," 698,047.35 "," 566,166.88 "
2010, 9.00 ," 704,702.77 "," 594,223.00 "
2010, 10.00 ," 696,132.65 "," 598,080.46 "
2010, 11.00 ," 711,448.98 "," 599,251.46 "
2010, 12.00 ," 720,207.97 "," 599,930.46 "
2011, 1.00 ," 730,197.77 "," 615,604.98 "
2011, 2.00 ," 746,670.28 "," 630,400.03 "
2011, 3.00 ," 754,048.10 "," 642,847.92 "
2011, 4.00 ," 735,460.06 "," 652,675.73 "
2011, 5.00 ," 746,574.73 "," 675,887.12 "
2011, 6.00 ," 764,222.80 "," 722,888.00 "
2011, 7.00 ," 781,713.03 "," 744,486.60 "
2011, 8.00 ," 776,852.60 "," 768,510.85 "
2011, 9.00 ," 764,274.59 "," 799,834.03 "
2011, 10.00 ," 794,565.56 "," 810,011.60 "
2011, 11.00 ," 803,894.34 "," 728,645.25 "
2011, 12.00 ," 799,880.06 "," 685,607.92 "
2012, 1.00 ," 809,278.11 "," 686,718.48 "
2012, 2.00 ," 877,292.72 "," 663,050.00 "
2012, 3.00 ," 887,871.40 "," 676,330.00 "
2012, 4.00 ," 896,036.72 "," 700,900.00 "
2012, 5.00 ," 889,056.81 "," 721,040.00 "
2012, 6.00 ," 858,829.55 "," 763,971.00 "
2012, 7.00 ," 872,160.52 "," 767,390.00 "
2012, 8.00 ," 901,934.27 "," 771,760.00 "
2012, 9.00 ," 922,196.19 "," 802,457.33 "
2012, 10.00 ," 929,321.62 "," 812,307.84 "
2012, 11.00 ," 958,438.68 "," 824,583.12 "
2012, 12.00 ," 971,265.44 "," 821,972.82 "
2013, 1.00 ," 978,335.91 "," 833,609.46 "
2013, 2.00 ," 943,750.18 "," 826,267.68 "
2013, 3.00 ," 981,910.93 "," 812,700.17 "
2013, 4.00 ," 1,065,609.39 "," 816,796.56 "
2013, 5.00 ," 1,074,797.69 "," 832,238.14 "
2013, 6.00 ," 1,050,628.57 "," 800,025.00 "
2013, 7.00 ," 1,078,604.00 "," 875,230.00 "
2013, 8.00 ," 1,116,676.22 "," 887,560.00 "
2013, 9.00 ," 1,168,115.36 "," 889,313.51 "
2013, 10.00 ," 1,174,782.27 "," 887,991.23 "
2013, 11.00 ," 1,170,053.22 "," 912,234.31 "
2013, 12.00 ," 1,189,182.59 "," 922,369.15 "
2014, 1.00 ," 1,200,901.86 "," 920,500.71 "
2014, 2.00 ," 1,229,416.28 "," 937,328.35 "
2014, 3.00 ," 1,231,183.10 "," 940,402.99 "
2014, 4.00 ," 1,216,759.23 "," 950,981.15 "
2014, 5.00 ," 1,232,041.55 "," 957,893.23 "
2014, 6.00 ," 1,284,327.25 "," 1,138,505.00 "
2014, 7.00 ," 1,296,444.73 "," 1,089,655.77 "
2014, 8.00 ," 1,281,093.66 "," 1,090,984.32 "
2014, 9.00 ," 1,260,874.56 "," 1,087,827.67 "
2014, 10.00 ," 1,254,913.42 "," 1,088,832.15 "
2014, 11.00 ," 1,303,363.31 "," 1,088,951.54 "
2014, 12.00 ," 1,307,748.71 "," 1,170,696.28 "
2015, 1.00 ," 1,334,642.80 "," 1,163,350.79 "
2015, 2.00 ," 1,353,302.65 "," 1,296,748.46 "
2015, 3.00 ," 1,397,125.72 "," 1,278,107.87 "
2015, 4.00 ," 1,415,431.51 "," 1,326,835.19 "
2015, 5.00 ," 1,407,811.19 "," 1,381,156.98 "
2015, 6.00 ," 1,420,444.38 "," 1,423,253.00 "
2015, 7.00 ," 1,418,568.23 "," 1,473,143.70 "
2015, 8.00 ," 1,403,100.20 "," 1,530,678.61 "
2015, 9.00 ," 1,388,262.31 "," 1,550,232.74 "
2015, 10.00 ," 1,454,245.39 "," 1,490,713.76 "
2015, 11.00 ," 1,516,373.47 "," 1,562,515.56 "
2015, 12.00 ," 1,540,017.00 "," 1,615,184.20 "
2016, 1.00 ," 1,522,769.88 "," 1,654,744.49 "
2016, 2.00 ," 1,605,227.98 "," 1,646,555.21 "
2016, 3.00 ," 1,646,527.48 "," 1,665,578.04 "
2016, 4.00 ," 1,689,039.25 "," 1,685,269.16 "
2016, 5.00 ," 1,750,326.78 "," 1,680,631.83 "
2016, 6.00 ," 1,815,470.50 "," 1,796,198.00 "
2016, 7.00 ," 1,808,641.64 "," 1,797,696.38 "
2016, 8.00 ," 1,815,930.73 "," 1,803,260.48 "
2016, 9.00 ," 1,854,554.56 "," 1,849,019.87 "
2016, 10.00 ," 1,872,102.82 "," 1,844,474.95 "
2016, 11.00 ," 1,918,656.99 "," 1,834,914.33 "
2016, 12.00 ," 1,930,855.01 "," 1,896,443.05 "
2017, 1.00 ," 1,894,094.99 "," 1,992,795.15 "
2017, 2.00 ," 1,901,820.24 "," 1,993,173.80 "
2017, 3.00 ," 1,944,953.40 "," 2,159,068.94 "
2017, 4.00 ," 1,979,865.65 "," 2,167,254.83 "
2017, 5.00 ," 2,045,471.63 "," 2,187,224.33 "
2017, 6.00 ," 2,111,710.44 "," 2,294,153.00 "
2017, 7.00 ," 2,123,788.59 "," 2,305,538.33 "
2017, 8.00 ," 2,135,933.94 "," 2,309,775.39 "
2017, 9.00 ," 2,172,835.14 "," 2,310,198.99 "
2017, 10.00 ," 2,188,509.46 "," 2,353,124.93 "
2017, 11.00 ," 2,228,429.02 "," 2,357,226.48 "
2017, 12.00 ," 2,220,345.35 "," 2,349,284.44 "
2018, 1.00 ," 2,247,295.02 "," 2,377,522.47 "
2018, 2.00 ," 2,338,213.71 "," 2,563,074.05 "
2018, 3.00 ," 2,371,650.53 "," 2,512,430.94 "
2018, 4.00 ," 2,415,234.64 "," 2,562,178.53 "
2018, 5.00 ," 2,447,575.21 "," 2,573,126.23 "
2018, 6.00 ," 2,478,835.09 "," 2,568,398.70 "
2018, 7.00 ," 2,513,046.50 "," 2,601,071.15 "
2018, 8.00 ," 2,493,706.78 "," 2,611,403.10 "
2018, 9.00 ," 2,540,833.73 "," 2,605,334.58 "
2018, 10.00 ," 2,535,751.88 "," 2,654,689.44 "
2018, 11.00 ," 2,563,418.63 "," 2,709,008.39 "
2018, 12.00 ," 2,548,768.78 "," 2,723,734.27 "
2019, 1.00 ," 2,604,189.40 "," 2,729,478.57 "
2019, 2.00 ," 2,690,972.03 "," 2,707,287.17 "
2019, 3.00 ," 2,702,933.27 "," 2,721,597.46 "
2019, 4.00 ," 2,740,905.64 "," 2,842,481.02 "
2019, 5.00 ," 2,772,613.71 "," 2,834,844.04 "
2019, 6.00 ," 2,785,483.13 "," 3,023,139.47 "
2019, 7.00 ," 2,843,666.89 "," 3,160,057.46 "
2019, 8.00 ," 2,875,502.65 "," 3,133,543.34 "
2019, 9.00 ," 2,851,639.21 "," 3,111,767.28 "
2019, 10.00 ," 2,897,141.36 "," 3,127,601.25 "
2019, 11.00 ," 2,917,362.28 "," 3,114,959.69 "
2019, 12.00 ," 2,942,103.54 "," 3,106,822.96 "
2020, 1.00 ," 3,003,700.30 "," 3,112,897.95 "
2020, 2.00 ," 3,040,964.55 "," 3,117,038.57 "
2020, 3.00 ," 3,070,189.37 "," 3,212,634.23 "
2020, 4.00 ," 3,119,415.80 "," 3,317,330.98 "
2020, 5.00 ," 3,153,143.94 "," 3,496,428.84 "
2020, 6.00 ," 3,178,421.28 "," 3,515,812.00 "
2020, 7.00 ," 3,273,551.44 "," 3,638,506.49 "
2020, 8.00 ," 3,402,500.73 "," 3,666,321.29 "
2020, 9.00 ," 3,457,106.50 "," 3,663,491.22 "
2020, 10.00 ," 3,457,644.63 "," 3,705,644.24 "
2020, 11.00 ," 3,482,653.56 "," 3,771,808.47 "
2020, 12.00 ," 3,488,541.18 "," 3,793,285.24 "
2021, 1.00 ," 3,532,561.52 "," 3,819,699.66 "
2021, 2.00 ," 3,531,182.93 "," 3,814,288.77 "
2021, 3.00 ," 3,569,840.57 "," 3,769,866.74 "
2021, 4.00 ," 3,632,914.80 "," 3,778,131.44 "
2021, 5.00 ," 3,686,891.72 "," 3,799,018.81 "
2021, 6.00 ," 3,697,093.18 "," 3,999,542.00 "
2021, 7.00 ," 3,792,146.89 "," 4,020,629.30 "
2021, 8.00 ," 3,864,875.78 "," 4,054,862.85 "
2021, 9.00 ," 3,937,777.45 "," 4,062,504.78 "
2021, 10.00 ," 3,959,523.30 "," 4,083,124.54 "
2021, 11.00 ," 4,008,077.30 "," 4,109,282.85 "
2021, 12.00 ," 4,032,368.18 "," 4,174,371.53 "
2022, 1.00 ," 4,110,120.51 "," 4,155,788.44 "
2022, 2.00 ," 4,181,420.48 "," 4,157,763.28 "
2022, 3.00 ," 4,191,771.00 "," 4,209,560.22 "
2022, 4.00 ," 4,226,843.40 "," 4,243,534.44 "
2022, 5.00 ," 4,268,656.81 "," 4,295,102.46 "
2022, 6.00 ," 4,288,332.96 "," 4,290,775.57 "
2022, 7.00 ," 4,310,691.54 "," 4,299,821.20 "
2022, 8.00 ," 4,335,273.44 "," 4,327,930.65 "
2022, 9.00 ," 4,366,278.69 "," 4,334,790.82 "
2022, 10.00 ," 4,386,094.34 "," 4,359,569.49 "
2022, 11.00 ," 4,435,937.16 "," 4,462,891.06 "
2022, 12.00 ," 4,472,838.52 "," 4,673,144.13 "
2023, 1.00 ," 4,501,714.13 "," 4,681,115.48 "
2023, 2.00 ," 4,551,561.27 "," 4,709,715.16 "
2023, 3.00 ," 4,539,592.17 "," 4,851,094.80 "
2023, 4.00 ," 4,542,350.54 "," 5,092,502.58 "
2023, 5.00 ," 4,549,646.53 "," 5,137,162.59 "
2023, 6.00 ," 4,832,112.06 "," 5,446,560.94 "
2023, 7.00 ," 4,873,527.31 "," 5,542,638.32 "
2023, 8.00 ," 4,912,338.93 "," 5,614,091.02 "
2023, 9.00 ," 4,914,606.17 "," 5,667,798.53 "
2023, 10.00 ," 4,913,029.44 "," 5,746,316.51 "
2023, 11.00 ," 4,990,750.73 "," 5,896,502.32 "
2023, 12.00 ," 5,050,108.54 "," 6,089,584.98 "
2024, 1.00 ," 5,050,442.00 "," 6,189,967.47 "
2024, 2.00 ," 5,200,211.07 "," 5,653,894.01 "
2024, 3.00 ," 5,235,188.41 "," 5,163,423.34 "
2024, 4.00 ," 5,323,712.78 "," 5,198,811.99 "
2024, 5.00 ," 5,319,887.46 "," 5,118,306.60 "
2024, 6.00 ," 5,410,300.00 "," 5,150,839.75 "
2024, 7.00 ," 5,452,995.53 "," 5,162,853.57 "
2024, 8.00 ," 5,558,345.45 "," 5,176,101.99 "
2024, 9.00 ," 5,601,710.32 "," 5,188,364.91 "
