YEAR,Import_Duty,Excise_Duty,Income_Tax,VAT,Other_Tax_Income,Total_Tax_Revenue,Non_Tax_Revenue,Total_Revenue,Programme_Grants,Project_Grants,Total_Grants,,,,
1999,21069,"20,876.00","37,599.00","28,989.00",0.00,108533,"19,110.00","127,643.00",335.00,3408,"3,743.00",,,,
2000,102726,"95,412.00","173,008.00","151,285.00",0.00,522431,"93,039.00","615,470.00","2,058.00",24818,"26,876.00",,,,
2001,178490,"179,203.00","323,347.00","319,887.00",0.00,1000927,"206,691.00","1,207,618.00","23,397.00",76123,"99,520.00",,,,
2002,133508,"204,150.00","342,042.00","333,622.00",0.00,1013322,"206,100.00","1,219,422.00","7,497.00",37862,"45,359.00",,,,
2003,119650,"225,828.00","407,661.00","359,682.00",0.00,1112821,"221,815.00","1,334,636.00","17,666.00",74260,91926,,,,
2004,141356,"259,495.00","488,861.00","405,303.00",0.00,1295015,"267,538.00","1,562,553.00","26,298.00",74397,100695,,,,
2005,144170,"287,296.00","634,261.00","465,024.00",0.00,1530751,"268,945.00","1,799,696.00","5,564.00",80880,"86,444.00",,,,
2006,131057.81,"297,244.88","632,005.71","458,276.00",0.00,1518584.41,"256,797.75","1,775,382.16","21,855.00",80139,"101,994.00",,,,
2007,191306,"367,786.00","789,938.00","644,289.00",0.00,1993319,"362,927.00","2,356,246.00",0.00,81086,"81,086.00",,,,
2008,217354,"409,743.00","974,465.00","751,148.00",0.00,2352710,"393,377.00","2,746,087.00","22,554.00","115,911.00","138,465.00",,,,
2009,240111,"449,770.00","1,182,427.00","842,470.00",0.00,2714778,"388,848.00","3,103,626.00",0.00,"102,814.00","102,814.00",,,,
2010,269490,"483,797.00","1,298,774.00","946,637.00",0.00,2998698,"518,719.00","3,517,417.00",0.00,"120,720.00","120,720.00",,,,
2011,300518.46,"506,667.85","1,553,320.82","1,098,653.58",0.00,3459160.72,"493,142.86","3,952,303.57",0.00,"103,034.63","103,034.63",,,,
2012,331709.92,"503,754.56","1,898,545.64","1,122,620.89",0.00,3856631.02,"361,549.97","4,218,180.99",0.00,"83,374.42","83,374.42",,,,
2013,439998.53,"584,244.11","2,316,936.59","1,308,054.09",0.00,4649233.37,"465,569.60","5,114,802.94",0.00,"158,543.61","158,543.61",,,,
2014,533990.18,"656,283.60","2,771,928.43","1,499,342.05",0.00,5461544.24,"778,253.75","6,239,798.00",0.00,"121,202.98","121,202.98",,,,
2015,477143.16,"757,181.42","3,121,243.93","1,686,360.91","289,686.50",6331615.91,"569,523.46","6,901,139.35",0.00,152341.7126,152341.7126,,,,
2016,506728.86,"907,022.74","3,429,539.68","1,865,577.61","243,855.30",6952724.17,"720,628.45","7,673,352.62",0.00,"167,524.76",167524.7596,,,,
2017,575959.47,"1,042,383.33","3,806,722.08","2,166,489.16","235,623.95",7827178.3,"897,413.99","8,724,592.28",0.00,"154,696.28",154696.2812,,,,
2018,649576.14,"1,068,713.25","4,064,385.18","2,331,625.67","264,758.69",8379058.95,"1,019,650.68","9,398,709.63",0.00,"164,205.97","164,205.97",,,,
2019,679620.686,"1,265,806.18","4,315,025.47","2,661,045.38","248,972.77",9170470.45,"1,415,035.00","10,585,505.46",0.00,"142,209.33","142,209.33",,,,
2020,647563.6933,"1,315,659.18","4,346,364.68","2,497,951.95","297,580.67",9105120.174,"1,885,694.50","10,990,814.68",0.00,"116,534.56","116,534.56",,,,
2021,695132.4413,"1,438,862.79","4,363,356.28","2,720,779.11","363,223.31",9581353.93,"1,815,185.45","11,396,539.38",0.00,"168,339.29","168,339.29",,,,
2022,772971.6936,"1,632,717.19","5,342,779.42","3,355,072.62","433,239.37",11536780.3,"2,133,978.04","13,670,758.33",0.00,"131,383.83","131,383.83",,,,
2023,848300.1114,"1,739,845.40","5,854,171.22","3,663,370.01","464,991.76",12570678.5,"2,440,088.97","15,010,767.47","37,044.66","86,068.41","123,113.07",,,,
2024,880002.7878,"1,786,107.15","6,416,897.67","4,112,490.25","385,635.24",13581133.1,"3,197,974.53","16,779,107.63",252.09,"97,949.78","98,201.87",,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
